yorum,hiz,servis,lezzet,Label
Enfes tat...,10,10,10,pozitif
Herşey harikaydı çok beğendik.,10,10,10,pozitif
"Wonton çorbasını aşırı beğendik, tavsiye ederim.",8,8,9,pozitif
Soya sosu konulmamıstı...,5,1,1,negatif
Et yok gibi biseydi :).,6,6,1,nötr
Çok lezzetliydi teşekkürler.,10,10,10,pozitif
"Soya şişelerini paketin içine koymak varken direkt suşilerin üzerine koymanız hiç hijyenik değil. Özellikle wasabi ve diğer soslarınızın da lezzeti maalesef iyi değil. Onun dışında lezzetli yemekler, chefiniz iyi. Deniz ürünlerinizin tazeliği ya da saklanması konusunda pek emin olamadım.",10,5,8,pozitif
Çok teşekkür ederim.,10,10,10,pozitif
Süper.,10,10,10,pozitif
"Paketleme ve hız güzel ancak karışık sebze yemeği az pişmiş soğan yemeği içine başka sebzeler tat olsun diye katılmış gibiydi, büyük hayal kırıklığı ve mide ağrısı. Sebze çorbası güzeldi.",9,9,4,pozitif
Siparisle beraber gonderdikleri cokomel çok muhteşem bir ayrıntı.,5,10,7,pozitif
Sebzeli noodleda soğandan başka sebze yoktu :(.,8,9,6,pozitif
Did not deliver or notify of cancellation.,1,1,1,negatif
Öğlen yemeği için saat 11. 30da verdiğim sipariş -2 noodle- saat tam 13. 00de geldi. Evime 10 dakika lokasyonda. Hala şaşkınım...,1,5,5,negatif
Gayet lezzetliydi ancak diğer sushicilere göre parça sayısını çoğaltmak için küçük yapmışlar dikkat!,10,6,10,pozitif
Yemekler doyurucu ve güzel. Kurye arkadaşı da ayrıca tebrik ederim. İşini severek yapıyor.,8,8,8,pozitif
Yemek 85 dakikada geldi. Soğuk ve lezzetsizdi. Gerçekten yediğim en lezzetsiz çorba ve dynamite shrimps idi. Çok özensizdi.,1,1,1,negatif
Edamame de hic sos yoktu ve fasulyeler hic pismemisti.,8,9,2,nötr
Berbat.,1,1,1,negatif
"Sushiler çok güzeldi ancak wasabi tamamen tatsızdı. Acı, keskin ve kuvvetli bir tadı olan başka bir wasabi kullanmalılar.",10,10,10,pozitif
Asla saatinde gelmiyor ama yinede cok lezzetli.,5,9,10,pozitif
Ggayet güzeldi.,10,10,10,pozitif
Sushi içindeki pilav çok pişmiş ve gereğinden fazlaydı sushilerin içindeki malzemeler yok denecek gibiydi. Lapa pilav yemek isteseydik esnaf lokantasına giderdik.,8,10,4,pozitif
Love you guys.,10,10,10,pozitif
Fena değil.,8,9,8,pozitif
Her zaman ki harikasınız. Teşekkürler.,10,10,10,pozitif
Daha fazla soya sosu getirilirse daha iyi olur ve etli noodle ın içndw daha çok et olursa.,10,10,10,pozitif
Çok lezzetli süper hızlı teşekkürler:)).,10,10,10,pozitif
Süper.,10,10,10,pozitif
Teşekkürler.,9,9,9,pozitif
Hızınız lezzetiniz ve servisiniz için tam 10 puan teşekkrederm ayrıca dopdolu noddel mükemmeldi.,10,9,10,pozitif
Retzoka mutakashi tarikimo.,10,10,8,pozitif
Sık sık siparis veriyorum lezzetli ve hızlı.,9,9,9,pozitif
"Çok güzeldi, teşekkürler.",10,9,9,pozitif
Tavuk basarısızdı.,10,10,5,pozitif
Sade pilavı keşke jasminle yapmasanız onun dışında seviyoruz. Servis elemanınıza ayrıca teşekkürler.,8,8,8,pozitif
Bi ara noodle da karides miktarı azalmıştı normale dönmüş.,10,10,9,pozitif
Güzel.,10,10,10,pozitif
Güzel.,8,9,10,pozitif
Sebzeli noodle da hiç sebze yoktu :(.,5,5,5,nötr
Noodle ve pilav gerçekte aşırı yavandı. Çok geç teslim edildi soya sosları unutulmuştu. :(.,1,1,1,negatif
Güzel.,9,9,9,pozitif
Lezetli cok guzel keske fiyat biraz daha uygun olsaydi.,10,10,10,pozitif
Bir buçuk yıldan çin yemeği yemedim şimdi burdan sıparış ettim çok güzeldi herşey mukkemeldi 10 numara.,10,10,10,pozitif
200 tllik dolu dolu bir sipariş 30 dakikada sıcacık ve eksiksiz geldi. Teşekkürler.,10,10,10,pozitif
Harikaydı sadece suhsi ile doyabiliyorsun ama sadece fiyatı çok teşekkür ederim (.,10,10,10,pozitif
"Avakadolar henüz pişmemişti, sert ve acıydı.",9,9,7,pozitif
"1 saatten fazla sürdü gelmesi, genelde zaten geç geliyordu ama bu sefer rekor kırdılar.",1,8,7,nötr
Gayet lezzetliydi sadece yanına soya sos koymamışsınız dikkatinize:)).,9,9,10,pozitif
Siparişimi getirmeleri 1 saatten uzun sürdü. Son iki siparişim de geç gelmişti ama bu sefer rekor kırdılar. Peş peşe üç siparişi geç getiren bir yerden dördüncü kez sipariş vereceğimi sanmıyorum. Beklemeyi seven varsa sipariş versin yoksa alternatifleri bir düşünün derim.,1,7,4,nötr
Tam bir buçuk saatte geldi yemek ve restoran evime beş dakikalık mesafede. Yine de acılı ekşili çorba ve yengeç köfteleri lezzetliydi. Çok aç değilseniz beklemeye değer.,5,6,8,nötr
Haftada 2-3 gün sipariş veriyordum 1 kere sorun yaşadım ve uyardım ama bugün gelen siparişte paketin yarısı boştu bildiğin bir dahada sipariş vermicem bu kafayla çok müşteri kaybedersiniz.,3,2,4,negatif
Corbalar gayet guzel.,10,10,10,pozitif
Kötüydü!,6,8,6,nötr
Temiz leziz ve hizli servis.,10,10,10,pozitif
"Noodle çok tatsızdı, sushi ler beklentimizi karşılamadı. Genel olarak kötüydü.",7,6,3,nötr
Yanındaki hediye için teşekkürler. Hep çok güzel.,10,10,10,pozitif
Dana etli eriste guzeldi de general tso tavuk cok kotuydu yiyemedim.,10,9,5,pozitif
Mikemmel.,10,10,10,pozitif
Etli noodle istedim tadı güzeldi ancak içerisindeki et ve sebzeler azdı. Noodle cup olarak da bir boy büyük ambalaj kullanılsaydı daha kolay yenilebilir olurdu.,10,7,7,pozitif
Çoook yavaş geldi 1 saati geçti ama önceki sefer de 15 dakikada gelmişti. Şaşırtıcı bir tezat. Bir sonraki sipariste durumu netleştireceğiz sanırım :d.,3,10,10,pozitif
Lazzetsizdi soğuktu ve 1 saat 10 dakikada geldi.,1,1,1,negatif
Gece saat 3 olmasına rağmen çok hızlı bir şekilde hazırlayıp getirdiler çok lezzetli ve doyurucuydu.,10,10,10,pozitif
Süper har zamanki gibi.,10,10,10,pozitif
Sashimiyi cok taze bulmadik.,9,9,7,pozitif
Çok vasat.,1,8,5,nötr
Evet karides sayisi azalmis ama lezzet yine ayni en azindan.,9,9,9,pozitif
"Teriyaki soslu somon sipariş ettim, geç geldi ve somondan başka herşeye benziyordu buz gibiydi yanında ki sebzeler yenicek gibi değildi 50 tl çöpe attım.",2,3,1,negatif
Teşekkürler.,10,10,10,pozitif
"Verdiğim sipariş 1, 5 saat içerisinde ve eksik geldi. Lezzet olarak da gördüğünüz puanlamanın çok altında. Yazıklar olsun size.",1,1,1,negatif
Karides çok boldu. Ancak soya filizi yerine lahanayla yapılmıştı. Yine de güzeldi.,10,10,8,pozitif
"Fiyatlar hız uygun ama lezzet çok kötü, o ginger nedir kardeşim kendiniz sos yapmışsınız insanın ağzında değişik bir tat bırakıyor marketten aldığınız şekilde koysanıza yiyelim sos katmaya gereksiz yorum katmaya ne gerek var ki, bir de rendelemişsiniz ne alaka?",9,10,2,pozitif
Çok lezzetliydi bu civardaki en iyisi diyebilirim.,10,10,10,pozitif
Harika.,10,10,10,pozitif
Kurun yukselmesiyle karidesin sayisi azalmis gibime geldi.,10,10,8,pozitif
"Etli noodle gayet doyurucu ve lezzetliydi, sadece sebze daha bol olmalı. Soslar için ayrıca teşekkürler :).",10,10,9,pozitif
Yine süperdi.,10,10,10,pozitif
Elinize saglik. Karides miktari artirilmali veya gramaji menude belirtilmeli. Tesekkurler.,9,9,8,pozitif
İkram için teşekkürler.,8,9,8,pozitif
1:15 saat surdu gelmesi.,1,9,9,nötr
"Malesef eksik chopstick ve servis geldi, peçete servisi zaten yok. Lezzet iyi servis vasat.",8,6,8,pozitif
Guzeldi.,9,9,8,pozitif
2 içeceğim gelmedi 10 liram boşa gitti o yüzden servis kesinlikle 1 hız ve lezzette sıkıntı yok.,9,1,9,nötr
Noodle porsiyonları oldukça büyük ve lezzetli.,10,10,10,pozitif
"Daha hızlı olabilirdi, rolllar biraz küçük geldi ama lezzetli. Wasabinin kalp şeklinde olması cok guzeldi bence.",7,9,8,pozitif
"Acılı ekşili çorba bambaşka geldi, içinde salatalık vardı, bir kaşık alamadım. Her seferinde farklı bir tarif mi deneniyor?",7,9,2,nötr
).,10,10,10,pozitif
"Yediğim en iyi etli noodlelardan biriydi, eti ve diğer malzemeleri yeterli miiktardaydı çok hızlı geldi ayrıca.",10,10,10,pozitif
"Lezzet ve servis olarak gayet başarılıydı ama siparişim verildikten 1 saat sonra teslim edildi, acilen hızlanması gereken bir durum :/.",7,10,10,pozitif
Notları dikkate alırsanız sevinirim noodle da soğan ve lahana istemediğimi belirtmiştim ama maalesef tek tek ayıklamak zorunda kaldım. Onun dışında küçük bi tavsiye: sebzeli noodle malzemelerine kabak eklemelisiniz.,10,10,8,pozitif
Noodle her zamank gibi güzeldi. Ama shrimp dynamite ı yiyemedim. Çok ekşi ve yapış yapış bi sosu vardı. Gerçekten çok üzüldüm ve hayalkırıklığına uğradım. Param boşa gitti.,9,9,4,pozitif
Öncelikle hızlı teslimat ve servis için teşekkür ederim. Lezzete gelince noodle harika idi. Daha güzel ve şaşırtıcı olanı ise paketin içinden çıkan karides cipsleri oldu. O kadar mutlu oldum ki görünce. Çok naziksiniz. Tekrar teşekkür ederim.,10,10,10,pozitif
Beef noodle had no salt. Salmon nigiri was not fresh. But it was 3:30am order...,9,9,8,pozitif
"Yemek, siparişten 1 saat 40 dakika sonra geldi, ayrıca sipariş notu olarak talep ettiğim fişi de getirmediler, ey maliye, duyuyor musun?",1,1,1,negatif
20-30 dakika gonderim suresi belirtilmis olmasina ragmen siparisim 60 dakikada elime ulasti. Bu yetmiyormus gibi siparis eksik ve yanlis gonderildi.,1,1,1,negatif
Hic bu kadar kuru ve ayarsiz tso tavuk gormedik yenmedi zaten. Ve acili sarimsakli edamame ye bayiliriz ama bildiginden sasmamak lazimmis onun sosu ne ya unla koyultulmus içinden unlu parcaciklar cikti. Gerçekten hayal kirikligiydi.,3,2,1,negatif
Dusuk.,5,6,3,nötr
Sebzesi çok azdı.,10,8,4,pozitif
"Tavuklu menu istemistim, etli geldi. Aluminyum tabakta gelmesi cok sagliksiz bence degistirmelisiniz.",9,4,8,pozitif
Herşey çok güzel di çok teşekkürler.,10,10,10,pozitif
O kadar çoktu ki bitiremedim bile olabilidiğince de lezzetliydi afsane noddle için ellerinize sağlık teşekkür ederim.,10,10,10,pozitif
En ıyı noodle!,10,10,10,pozitif
"Yoğunluk dolayısıyla 58 dakikada geldi ancak yemekten çok memnun kaldım, elinize sağlık.",9,10,10,pozitif
Yediğim en lezzetli noodlelardandı. Teşekkürler.,9,9,9,pozitif
"İnanilmaz yanildik, servis ve lezzet diye birseyleri kalmamis.",7,1,1,negatif
Cok lezzetli :).,9,9,10,pozitif
Porsiyonu gayet tatmin ediciydi. Hızlı geldi. Lezzetliydi.,9,9,10,pozitif
Elinize sağlık her şey çok güzeldi fakat soya sosunu az göndermişsiniz onu biraz daha gönderirseniz daha iyi olur.,10,10,10,pozitif
Lezzet ve hız iyiydi ama keske yazdığım nota baksalarmıs:) neyse saglık olsun.,10,8,10,pozitif
Hayatımda yediğim en kötü sushi.. Yazık.,4,4,1,negatif
Miso soup fena sayılmazdı fakat sake maki ve sashimi çok taze ve lezzetliydi. 34 dakikada geldi.,9,10,8,pozitif
Çorba çok lezzetliydi ve siparişim çok hızlı geldi harikasınız teşekkürler.,10,10,10,pozitif
"Tso dana eti denedim. Porsiyonu iyi geldi bana, sadece biraz daha çıtır olabilse 10 verecektim ama belki paket servis diye yumuşamış olabilir tabii.",10,10,9,pozitif
Yemeğim hızlı geldi ve sıcaktı. Porsiyon olarak doyurucuydu ve lezzetliydi. Ellerinize sağlık.,10,10,10,pozitif
Kurye arkadas cok nazikti tesekkurler.,10,10,10,pozitif
"Asiri hizli geldi, inanamadik. Bol porsiyonlu ve gercekten inanilmaz lezzetliydi.",10,10,10,pozitif
Crunchy roll gercekten harika ama okadar buyuk 4 tane yerine kucultup 6 yapmanizi tercih ederdim. Yemesi zordu:(.,10,10,10,pozitif
Sebzeli yerine tavuklu noodle göndermişlerdi tüm yemekten tavuk ayıkladım vejetaryen olduğum için :((.,8,7,9,pozitif
Lezzetler çok iyi sadece söylediğim somonlu sushi her seferinde farklı paketlenerek geliyor (bazen çok özenli bazen diğer şeylerle aynı pakette karman çorman) ve eskiden 6 parça iken şimdi 4 :(.,9,9,9,pozitif
"O kadar siparişe insan 1 adet bile olsa sos koyar, ayıp.",9,3,8,nötr
Mükemmel lezzet.,10,10,10,pozitif
Kurye arkadaşın davranışları daha kibar olsaydı keşke de sipariş verdiğimize pişman olmasaydık ama onun dışında güzeldi gayet 20 dk da geldi.,10,3,8,pozitif
Her zamanki gibi muhteşemdi tek tercihimsiniz çin mutfağında hem lezzet hem porsiyon yeterliliği inşallah bozmazsiniz çizginizi teşekkürler.,10,10,10,pozitif
Her zamanki gibi harika.,10,10,10,pozitif
Cok hizli ve lezzetli. Paketleme de gayet iyiydi.,10,10,10,pozitif
Muhteşem tat.,10,10,10,pozitif
Telefonla arayip ilgilmeniz çok güzeldi.,10,10,10,pozitif
Etli noodleın icinde biraz daha sebze olmalı. Çok boş.,6,10,8,pozitif
Cok hızlı ve lezzetli superdi.,10,10,10,pozitif
Sushiler kötüydü tavsiye etmem.,6,5,3,nötr
Öncelikle lezzet ve doyurucu olması benim için önemli. Sabahtan beri kahvaltı etmemiş aç bir insanın bekletilmesi en son istenen şey ve hızlarına da diyecek yok. Sonrasında müşteri memnuniyeti için aranmak da çok hoştu :) böyle devam edin gençler elinizden gençleri kaçırmayın aman ha :d.,10,10,10,pozitif
"Sushi is great, chicken curry is my favorite dish!",7,8,9,pozitif
"Etli noodle çok yağlıydı, karides cipsi de çok azdı.",8,8,5,pozitif
"Lezzet ve servis her zamanki gibi çok iyiydi, civardaki tek iyi çin restorantı.",8,9,9,pozitif
Gayet lezizdi. Corba da ates gibiydi.,9,9,9,pozitif
Setcard söyleme rağmen kapıya gelince olmadığını söylediler en azından telefonla arayıp durumu söyleselerdi iptal edebilirdik ve zor duruma girmezdim hemde 50-60 dk arasında geldi lezzet yeniyor sıkıntı yok.,6,2,7,nötr
"O kadar kötüydü ki anlatamam, general söyledim yediğim en vıcık vıcık generaldi, noodleda tabuk 4 adetti ve sadece göbek marul vardı içinde resmen... Çok çok mutsuz bir yemekti..",1,1,1,negatif
Cok hizli ve lezzetli yemek. İlk denemede cok memnun kaldm.,10,10,10,pozitif
1-siparisim gec geldi 2-poşete dökülmüs olarak geldi. Kurye kusura bakmayin dokuldu falan dedi ama baya dokulmustu. İlk ve son siparisimdi tesekkurler.,1,2,6,negatif
Siparisimde icecegim unutuldu. Restoranla iletisime gecip gondermelerini istedigimde ertesi gun gelip birakip gitmisler. Saka gibi bir isletmesiniz. Napiyim ben 1 gun sonra gelen icecegi?,1,1,1,negatif
Sushi disinda basariliydi.,10,10,8,pozitif
Vegi noodle içeriğini pek beğenmedim daha zengin olabilirdi.,8,8,8,pozitif
Lezzetli ve doyurucuydu.,7,10,10,pozitif
Tavuk sert olmuş..,8,8,7,pozitif
"Buharda somon efsane, yurtici yurtdisi denedigim en iyisi acik ara. Elinize saglik.",10,10,10,pozitif
Good food and service but it took them an hour and 15 minutes to deliver even though they said it will be only 45 minutes.,3,10,10,pozitif
Lezzetli.,10,10,10,pozitif
Parasini sonuna kadar hak eden muazzam bir lezzet.,10,10,10,pozitif
